,source,target,color,path,label,value,level
409,7,13,"rgba(0,255,0,0.2)",moderate-->mild-->mild-->followup_sensitivity-->moderate,moderate,15,2
410,7,13,"rgba(0,255,0,0.2)",moderate-->mild-->mild-->followup_efficiency-->moderate,moderate,8,2
411,7,13,"rgba(0,255,0,0.2)",moderate-->mild-->mild-->inconclusive-->inconclusive,inconclusive,2,2
412,7,14,"rgba(255,128,0,0.2)",moderate-->mild-->moderate-->no_symptoms-->moderate,moderate,93,2
413,7,14,"rgba(255,128,0,0.2)",moderate-->mild-->moderate-->followup_sensitivity-->moderate,moderate,14,2
414,7,14,"rgba(255,128,0,0.2)",moderate-->mild-->moderate-->followup_efficiency-->moderate,moderate,13,2
415,7,14,"rgba(255,128,0,0.2)",moderate-->mild-->moderate-->inconclusive-->inconclusive,inconclusive,2,2
416,7,15,"rgba(255,0,0,0.2)",moderate-->mild-->severe-->no_symptoms-->moderate,moderate,20,2
417,7,15,"rgba(255,0,0,0.2)",moderate-->mild-->severe-->followup_sensitivity-->moderate,moderate,7,2
418,7,15,"rgba(255,0,0,0.2)",moderate-->mild-->severe-->followup_efficiency-->moderate,moderate,13,2
419,7,15,"rgba(255,0,0,0.2)",moderate-->mild-->severe-->inconclusive-->inconclusive,inconclusive,1,2
420,7,16,"rgba(192,192,192,0.2)",moderate-->mild-->inconclusive-->inconclusive-->inconclusive,inconclusive,6,2
421,8,12,"rgba(0,0,255,0.2)",moderate-->moderate-->no_symptoms-->no_symptoms-->moderate,moderate,1,2
422,8,13,"rgba(0,255,0,0.2)",moderate-->moderate-->mild-->no_symptoms-->moderate,moderate,43,2
423,8,13,"rgba(0,255,0,0.2)",moderate-->moderate-->mild-->followup_sensitivity-->moderate,moderate,13,2
424,8,13,"rgba(0,255,0,0.2)",moderate-->moderate-->mild-->followup_efficiency-->moderate,moderate,10,2
425,8,13,"rgba(0,255,0,0.2)",moderate-->moderate-->mild-->inconclusive-->inconclusive,inconclusive,2,2
426,8,14,"rgba(255,128,0,0.2)",moderate-->moderate-->moderate-->no_symptoms-->moderate,moderate,83,2
427,8,14,"rgba(255,128,0,0.2)",moderate-->moderate-->moderate-->followup_sensitivity-->moderate,moderate,27,2
428,8,14,"rgba(255,128,0,0.2)",moderate-->moderate-->moderate-->followup_efficiency-->moderate,moderate,22,2
429,8,14,"rgba(255,128,0,0.2)",moderate-->moderate-->moderate-->inconclusive-->inconclusive,inconclusive,2,2
430,8,15,"rgba(255,0,0,0.2)",moderate-->moderate-->severe-->no_symptoms-->moderate,moderate,29,2
431,8,15,"rgba(255,0,0,0.2)",moderate-->moderate-->severe-->no_symptoms-->severe,severe,3,2
432,8,15,"rgba(255,0,0,0.2)",moderate-->moderate-->severe-->followup_sensitivity-->moderate,moderate,15,2
433,8,15,"rgba(255,0,0,0.2)",moderate-->moderate-->severe-->followup_sensitivity-->severe,severe,4,2
434,8,15,"rgba(255,0,0,0.2)",moderate-->moderate-->severe-->followup_efficiency-->moderate,moderate,15,2
